eth_type,ip_proto,src_port,dst_port
2048,17,52327,53
2048,17,53,52327
2048,17,53,59839
2048,6,57804,443
2048,6,443,57804
2048,6,443,51898
2048,6,443,51890
2048,17,51450,53
2048,17,53,51450
2048,6,50354,80
2048,6,80,50354
2048,17,40470,53
2048,17,52925,53
2048,17,53,52925
2048,17,53,40470
2048,6,57820,443
2048,6,443,57820
2048,17,60412,443
2048,17,37610,53
2048,17,40449,53
2048,17,60484,443
2048,17,53,40449
2048,17,53,37610
2048,6,57824,443
2048,6,443,57824
2048,6,57832,443
2048,6,443,57832
2048,17,52402,53
2048,17,42406,53
2048,17,53,42406
2048,17,53,52402
2048,6,57840,443
2048,6,443,57840
2048,6,57850,443
2048,6,443,57850
2048,17,56605,53
2048,17,54505,53
2048,17,53,56605
2048,17,53,54505
2048,6,57862,443
2048,6,443,57862
2048,17,34996,53
2048,17,46530,53
2048,17,53,34996
2048,17,53,46530
2048,6,57874,443
2048,6,443,57874
2048,6,57876,443
2048,6,443,57876
2048,17,36054,53
2048,17,53,36054
2048,6,35596,443
2048,6,443,35596
2048,17,50009,53
2048,17,45845,53
2048,17,53,45845
2048,17,53,50009
2048,6,57888,443
2048,17,46518,53
2048,17,53,46518
2048,6,443,57888
2048,17,34332,53
2048,17,49946,53
2048,17,53,34332
2048,17,53,49946
2048,6,57902,443
2048,6,443,57902
2048,6,57916,443
2048,6,443,57916
2048,6,57922,443
2048,17,48133,443
2048,6,443,57922
2048,17,52078,53
2048,17,39919,53
2048,17,51286,53
2048,17,53,51286
2048,17,53,39919
2048,6,57938,443
2048,6,443,57938
2048,6,57952,443
2048,6,443,57952
2048,17,45506,53
2048,17,53,45506
2048,6,47776,443
2048,17,53,52078
2048,6,47790,443
2048,6,443,47776
2048,6,443,47790
2048,6,47322,443
2048,6,443,47322
2048,17,34715,53
2048,17,53,34715
2048,6,49102,443
2048,6,443,49102
2048,17,48611,53
2048,6,50356,80
2048,17,53,48611
2048,6,80,50356
2048,17,36966,53
2048,17,35377,53
2048,17,53,36966
2048,17,53,35377
2048,6,57954,443
2048,6,443,57954
2048,17,52712,443
2048,17,35549,443
2048,17,38724,53
2048,17,53,38724
2048,17,33920,53
2048,17,53,33920
2048,6,34124,443
2048,6,443,34124
2048,6,45672,80
2048,6,80,45672
2048,6,22,44770
2048,6,44770,22
2048,17,45978,53
2048,17,53,45978
2048,6,47150,443
2048,6,443,47150
2048,17,50863,53
2048,17,53,50863
2048,6,50356,80
2048,6,80,50356
2048,6,22,41410
2048,6,41410,22
2048,6,50354,80
2048,6,80,50354
2048,6,8080,42448
2048,6,42448,8080
2048,6,42276,8080
2048,6,8080,42276
2048,17,42633,53
2048,17,53,42633
2048,6,38902,443
2048,6,38908,443
2048,6,38922,443
2048,6,38938,443
2048,6,38946,443
2048,6,38954,443
2048,6,443,38946
2048,6,443,38922
2048,6,443,38902
2048,6,443,38908
2048,6,443,38938
2048,6,443,38954
2048,17,56483,1234
2048,17,57662,1234
2048,17,37610,1236
2048,17,45487,1236
2048,6,38968,443
2048,6,38984,443
2048,6,38988,443
2048,6,38992,443
2048,6,38998,443
2048,6,39000,443
2048,6,443,38992
2048,6,443,38968
2048,6,443,38988
2048,6,443,38998
2048,6,443,39000
2048,6,443,38984
2048,17,34792,53
2048,17,55371,53
2048,17,53,55371
2048,6,50314,443
2048,17,53,34792
2048,6,56992,443
2048,6,443,50314
2048,6,443,56992
2048,17,43986,53
2048,17,53,43986
2048,17,39543,53
2048,6,55302,80
2048,17,53,39543
2048,1,0,0
2048,6,80,55302
2048,17,37611,1237
2048,17,45488,1237
2048,17,56484,1235
2048,17,57663,1235
2048,6,59124,80
2048,6,80,59124
2048,6,54038,80
2048,6,80,54038
2048,17,56886,53
2048,17,53,56886
2048,17,36398,53
2048,17,53,36398
2048,6,54548,443
2048,6,54554,443
2048,6,54526,443
2048,6,54540,443
2048,6,54566,443
2048,6,54576,443
2048,6,443,54540
2048,6,443,54554
2048,6,443,54548
2048,6,443,54526
2048,6,443,54566
2048,6,443,54576
2048,6,50356,80
2048,6,80,50356
2048,6,50354,80
2048,6,80,50354
2048,6,49824,80
2048,6,80,49824
2048,6,80,45670
2048,6,49840,80
2048,6,49258,443
2048,6,80,49840
2048,6,443,49258
2048,17,43256,53
2048,17,38313,53
2048,17,53,38313
2048,17,53,43256
2048,1,0,0
2048,6,45672,80
2048,6,80,45672
2048,6,59124,80
2048,6,80,59124
2048,6,54038,80
2048,6,80,54038
2048,17,57204,53
2048,17,53,57204
2048,6,39768,443
2048,6,443,39768
2048,17,34278,53
2048,17,53,34278
2048,17,44655,53
2048,17,33658,53
2048,17,53,44655
2048,17,53,33658
2048,6,42672,443
2048,6,56666,443
2048,6,56668,443
2048,6,56670,443
2048,6,56676,443
2048,6,56690,443
2048,6,443,42672
2048,6,443,56690
2048,6,443,56666
2048,6,443,56676
2048,6,443,56668
2048,6,443,56670
2048,6,50356,80
2048,6,80,50356
2048,17,53840,53
2048,17,53,53840
2048,6,42956,80
2048,17,55110,53
2048,6,42960,80
2048,6,42966,80
2048,17,53,55110
2048,6,80,42956
2048,6,80,42960
2048,6,80,42966
2048,17,55700,53
2048,17,49919,443
2048,17,53,55700
2048,17,48289,443
2048,17,41716,53
2048,17,53,41716
2048,6,54336,443
2048,6,443,54336
2048,17,55406,53
2048,17,54312,443
2048,17,53,55406
2048,6,56922,443
2048,6,443,56922
2048,17,47584,53
2048,17,53,47584
2048,17,55310,443
2048,6,49824,80
2048,6,80,49824
2048,6,80,45670
2048,6,49840,80
2048,6,49258,443
2048,6,80,49840
2048,6,443,49258
2048,6,59124,80
2048,6,80,59124
2048,17,40721,53
2048,17,53,40721
2048,6,59358,443
2048,6,443,59358
2048,17,40812,53
2048,17,53,40812
2048,6,36056,80
2048,6,80,36056
2048,6,54038,80
2048,6,80,54038
2048,6,49824,80
2048,6,80,49824
2048,17,34412,53
2048,17,35966,53
2048,17,39563,53
2048,17,53,34412
2048,17,53,35966
2048,17,53,39563
2048,6,41438,443
2048,6,50942,443
2048,1,0,0
2048,6,443,41438
2048,6,443,50942
2048,6,45670,80
2048,6,80,45670
2048,6,49840,80
2048,6,49258,443
2048,6,80,49840
2048,6,443,49258
2048,17,51737,53
2048,17,53,51737
2048,6,42608,443
2048,6,443,42608
2048,6,59344,443
2048,6,443,59344
2048,17,49792,53
2048,17,53,49792
2048,17,54144,53
2048,17,53,54144
2048,17,54762,443
2048,6,59352,443
2048,6,443,59352
2048,17,51155,53
2048,17,53,51155
2048,6,35856,443
2048,6,443,35856
2048,6,35870,443
2048,6,60516,443
2048,6,443,35870
2048,6,443,60516
2048,6,35874,443
2048,6,443,35874
2048,6,35888,443
2048,6,443,35888
2048,6,35896,443
2048,6,443,35896
2048,6,35906,443
2048,6,443,35906
2048,6,35908,443
2048,6,443,35908
2048,6,35914,443
2048,6,443,35914
2048,17,49744,53
2048,17,53,49744
2048,17,46598,443
2048,17,36386,53
2048,17,53,36386
2048,6,52756,443
2048,6,443,52756
2048,17,36419,53
2048,17,53,36419
2048,17,57981,53
2048,17,53,57981
2048,17,52441,443
2048,6,60042,443
2048,17,51660,53
2048,17,47685,53
2048,17,53,51660
2048,17,53,47685
2048,6,35986,443
2048,6,59886,443
2048,6,443,60042
2048,6,443,59886
2048,6,443,35986
2048,6,60052,443
2048,6,443,60052
2048,6,60058,443
2048,6,443,60058
2048,17,35598,53
2048,17,53,35598
2048,17,53688,443
2048,17,50134,443
2048,17,40043,443
2048,17,37257,53
2048,17,53,37257
2048,6,55330,443
2048,6,55346,443
2048,17,50081,53
2048,17,53,50081
2048,6,443,55330
2048,6,443,55346
2048,6,41016,443
2048,6,443,41016
2048,17,36072,53
2048,17,53,36072
2048,17,50638,443
2048,17,34650,53
2048,17,52816,53
2048,17,53,34650
2048,17,53,52816
2048,17,41310,443
2048,6,58636,443
2048,6,443,58636
2048,17,49141,53
2048,17,53,49141
2048,6,48474,443
2048,6,443,48474
2048,6,45672,80
2048,6,80,45672
2048,17,58144,443
2048,6,59124,80
2048,6,80,59124
2048,17,57656,53
2048,17,53,57656
2048,6,47086,443
2048,6,47100,443
2048,6,443,47100
2048,6,443,47086
2048,17,45438,443
2048,17,53113,53
2048,17,53,53113
2048,17,57179,53
2048,17,49208,53
2048,17,53,49208
2048,17,53,57179
2048,17,45045,53
2048,17,53,45045
2048,6,22,44770
2048,6,44770,22
2048,17,45302,53
2048,17,53,45302
2048,17,37634,53
2048,17,53,37634
2048,17,34715,53
2048,17,39751,53
2048,17,46649,53
2048,17,53,34715
2048,17,53,39751
2048,17,53,46649
2048,17,39655,53
2048,17,53,39655
2048,6,44442,443
2048,6,443,44442
2048,17,35209,53
2048,17,53,35209
2048,17,40439,53
2048,17,53,40439
2048,17,35757,53
2048,17,48265,53
2048,17,58187,53
2048,17,37997,53
2048,17,53,58187
2048,17,53,37997
2048,17,59760,53
2048,6,34812,443
2048,6,34814,443
2048,6,48610,443
2048,17,55183,53
2048,17,53,48265
2048,17,53,59760
2048,6,49332,443
2048,17,53,55183
2048,6,38538,443
2048,6,38524,443
2048,6,38548,443
2048,6,443,48610
2048,6,443,49332
2048,6,443,34812
2048,6,443,34814
2048,6,443,38524
2048,6,443,38538
2048,6,443,38548
2048,17,44233,443
2048,17,53,35757
2048,6,44446,443
2048,6,44454,443
2048,17,55759,443
2048,17,49890,53
2048,17,53,49890
2048,6,60846,443
2048,6,443,60846
2048,6,443,44454
2048,6,443,44446
2048,6,44470,443
2048,6,44480,443
2048,6,41998,443
2048,6,47108,443
2048,6,443,44470
2048,6,443,44480
2048,6,443,41998
2048,6,443,47108
2048,17,43574,443
2048,17,53230,53
2048,17,38847,53
2048,17,53,53230
2048,17,53,38847
2048,17,37332,53
2048,17,53,37332
2048,17,36138,53
2048,17,53,36138
2048,17,50598,53
2048,17,53,50598
2048,6,40428,443
2048,17,35711,53
2048,17,53,35711
2048,6,46566,443
2048,6,443,46566
2048,6,46578,443
2048,6,45670,80
2048,6,443,46578
2048,6,46590,443
2048,6,443,46590
2048,6,46592,443
2048,6,443,46592
2048,6,80,45670
2048,6,443,40428
2048,17,57520,443
2048,17,44760,53
2048,17,53,44760
2048,17,45367,53
2048,17,53,45367
2048,6,47340,443
2048,6,443,47340
2048,6,47650,443
2048,6,41796,443
2048,6,443,47650
2048,6,443,41796
2048,6,50356,80
2048,6,80,50356
2048,6,80,42960
2048,6,80,42956
2048,6,42966,80
2048,6,50354,80
2048,6,80,42966
2048,6,80,50354
2048,6,35596,443
2048,6,443,35596
2048,6,47776,443
2048,6,51898,443
2048,6,58206,443
2048,6,47322,443
2048,6,443,47322
2048,6,443,58206
2048,6,443,47776
2048,6,443,51898
2048,17,53439,53
2048,17,53,53439
2048,6,39122,443
2048,6,443,39122
2048,17,58208,53
2048,17,59744,53
2048,17,53,58208
2048,17,53,59744
2048,6,49886,443
2048,6,443,49886
2048,17,46459,53
2048,17,53,46459
2048,6,56696,443
2048,6,443,56696
2048,17,51313,443
2048,6,37182,443
2048,6,37186,443
2048,6,37192,443
2048,6,37204,443
2048,6,37212,443
2048,6,37224,443
2048,6,443,37186
2048,6,443,37204
2048,6,443,37182
2048,6,443,37192
2048,6,443,37224
2048,6,443,37212
2048,6,48508,443
2048,6,443,48508
2048,17,39353,53
2048,17,53,39353
2048,6,40720,443
2048,6,443,40720
2048,6,40736,443
2048,6,443,40736
2048,6,34124,443
2048,6,443,34124
2048,17,54746,53
2048,17,53,54746
2048,6,59280,443
2048,6,443,59280
2048,6,50356,80
2048,6,80,50356
2048,17,39777,53
2048,17,53,39777
2048,17,60663,53
2048,17,53,60663
2048,6,41346,443
2048,6,49048,443
2048,6,49062,443
2048,6,49072,443
2048,6,49084,443
2048,6,49092,443
2048,6,443,41346
2048,6,443,49092
2048,6,443,49072
2048,6,443,49084
2048,6,443,49048
2048,6,443,49062
2048,17,54999,53
2048,17,41229,53
2048,17,41798,53
2048,17,53,54999
2048,17,53,41229
2048,17,57235,53
2048,17,53,57235
2048,6,57952,443
2048,6,57960,443
2048,6,51092,443
2048,6,57974,443
2048,6,57980,443
2048,6,443,51092
2048,17,46841,53
2048,17,53,46841
2048,6,60226,443
2048,6,443,60226
2048,17,42395,443
2048,6,51102,443
2048,6,51104,443
2048,6,51114,443
2048,6,443,51102
2048,6,443,51104
2048,6,443,51114
2048,6,51132,443
2048,6,51128,443
2048,6,51142,443
2048,6,443,51132
2048,6,443,51128
2048,6,443,51142
2048,17,46537,53
2048,6,57988,443
2048,17,53,46537
2048,6,57992,443
2048,6,443,57960
2048,6,443,57952
2048,6,443,57980
2048,6,443,57974
2048,17,53,41798
2048,6,51152,443
2048,6,443,51152
2048,17,47992,53
2048,17,53,47992
2048,6,51156,443
2048,6,54968,443
2048,6,54984,443
2048,6,443,51156
2048,6,51166,443
2048,6,443,51166
2048,6,51170,443
2048,17,35438,53
2048,6,42960,80
2048,17,53,35438
2048,6,443,51170
2048,6,80,42960
2048,17,40556,443
2048,6,443,57988
2048,6,443,54968
2048,6,443,54984
2048,6,443,57992
2048,17,46323,53
2048,6,42956,80
2048,6,80,42956
2048,17,53,46323
2048,17,52497,53
2048,17,53,52497
2048,6,58550,443
2048,17,39488,53
2048,17,53,39488
2048,6,443,58550
2048,6,59124,80
2048,6,39328,443
2048,6,47796,443
2048,6,80,59124
2048,6,443,39328
2048,6,443,47796
2048,17,41739,53
2048,17,53,41739
2048,6,42966,80
2048,6,50354,80
2048,6,80,50354
2048,6,80,42966
2048,6,58274,443
2048,6,443,58274
2048,17,53883,443
2048,17,43002,53
2048,17,53,43002
2048,17,50948,443
2048,6,36056,80
2048,6,47074,443
2048,6,443,47074
2048,6,80,36056
2048,17,44005,443
2048,17,50217,53
2048,17,53,50217
2048,6,59036,443
2048,6,443,59036
2048,17,52414,53
2048,17,53,52414
2048,6,59192,443
2048,6,443,59192
2048,17,57981,443
2048,17,43729,53
2048,17,53,43729
2048,6,59040,443
2048,6,443,59040
2048,17,58935,443
2048,6,42276,8080
2048,6,8080,42276
2048,6,49102,443
2048,6,443,49102
2048,6,38988,443
2048,6,443,38988
2048,17,41125,53
2048,17,53,41125
2048,6,55894,443
2048,6,443,55894
2048,17,49745,53
2048,17,53,49745
2048,17,59946,443
2048,6,443,44446
2048,17,38758,53
2048,17,53,38758
2048,17,38654,53
2048,17,34593,53
2048,6,39240,443
2048,6,39252,443
2048,17,53,38654
2048,17,53,34593
2048,6,37668,443
2048,6,60236,443
2048,6,443,39240
2048,6,443,39252
2048,6,443,37668
2048,6,443,60236
2048,17,44944,53
2048,6,44454,443
2048,6,44442,443
2048,17,53560,53
2048,17,53,53560
2048,17,53,44944
2048,6,52530,443
2048,6,443,44454
2048,6,443,44442
2048,6,443,52530
2048,17,59679,443
2048,17,39623,53
2048,17,53,39623
2048,6,55664,443
2048,6,443,55664
2048,17,53678,53
2048,17,53,53678
2048,6,52268,443
2048,6,52270,443
2048,6,52262,443
2048,6,443,52268
2048,6,443,52270
2048,6,443,52262
2048,17,39493,53
2048,17,53,39493
2048,6,443,35914
2048,6,35914,443
2048,17,53193,53
2048,17,53,53193
2048,6,52048,443
2048,6,52050,443
2048,6,443,52048
2048,6,52060,443
2048,6,443,52050
2048,6,52076,443
2048,6,52082,443
2048,6,443,52060
2048,6,52098,443
2048,6,443,52076
2048,6,443,52082
2048,6,443,52098
2048,6,44492,443
2048,6,44504,443
2048,6,44508,443
2048,6,44518,443
2048,6,443,44518
2048,6,443,44492
2048,6,443,44504
2048,6,443,44508
2048,6,54854,443
2048,6,54858,443
2048,6,443,54854
2048,6,443,54858
2048,6,443,60058
2048,6,60058,443
2048,17,56011,53
2048,17,53,56011
2048,17,33111,53
2048,17,53,33111
2048,6,54862,443
2048,6,54878,443
2048,17,48277,53
2048,6,54888,443
2048,17,53,48277
2048,6,443,54878
2048,6,443,54862
2048,6,443,54888
2048,6,54892,443
2048,6,54898,443
2048,6,54904,443
2048,6,54914,443
2048,6,443,54898
2048,6,443,54914
2048,6,443,54892
2048,6,443,54904
2048,6,54920,443
2048,6,443,54920
2048,17,33525,53
2048,17,53,33525
2048,17,34822,53
2048,6,54926,443
2048,6,50356,80
2048,17,53,34822
2048,6,54936,443
2048,6,54952,443
2048,6,54956,443
2048,6,443,54926
2048,6,80,50356
2048,6,443,54952
2048,6,443,54936
2048,6,443,54956
2048,6,42960,80
2048,6,80,42960
2048,17,35916,53
2048,17,53,35916
2048,6,48282,443
2048,17,33911,443
2048,6,443,48282
2048,6,38954,443
2048,6,443,38954
2048,17,34488,53
2048,17,35015,53
2048,17,53,35015
2048,6,56756,443
2048,17,53,34488
2048,6,55564,443
2048,6,443,55564
2048,6,443,56756
2048,17,58682,53
2048,6,56764,443
2048,17,53,58682
2048,6,443,56764
2048,17,53612,443
2048,17,39547,53
2048,17,53,39547
2048,6,58364,443
2048,6,58354,443
2048,6,58372,443
2048,6,443,58364
2048,6,443,58354
2048,6,443,58372
2048,17,43597,53
2048,17,53,43597
2048,6,41252,443
2048,6,49840,80
2048,6,49824,80
2048,6,80,49840
2048,6,80,49824
2048,6,443,41252
2048,17,54412,53
2048,17,53,54412
2048,17,59099,53
2048,17,53,59099
2048,6,56606,443
2048,17,56339,53
2048,6,54038,80
2048,6,80,54038
2048,6,56992,443
2048,6,54566,443
2048,6,443,54566
2048,17,53,56339
2048,6,443,56606
2048,6,443,56992
2048,6,48530,443
2048,17,39729,53
2048,17,59562,53
2048,17,53,39729
2048,17,53,59562
2048,6,443,48530
2048,17,51514,53
2048,17,53,51514
2048,6,40632,443
2048,6,40618,443
2048,6,40642,443
2048,6,443,40632
2048,6,443,40618
2048,6,443,40642
2048,6,44446,443
2048,6,47150,443
2048,6,50314,443
2048,6,443,44446
2048,6,443,50314
2048,6,443,47150
2048,6,44454,443
2048,6,44442,443
2048,17,40287,53
2048,17,53,40287
2048,6,51588,443
2048,17,48562,53
2048,17,53,48562
2048,17,57162,53
2048,17,53,57162
2048,6,443,44442
2048,6,443,44454
2048,6,443,51588
2048,17,37810,53
2048,17,53,37810
2048,6,51168,443
2048,6,443,51168
2048,6,54052,443
2048,6,443,54052
2048,17,56572,53
2048,17,53,56572
2048,6,56012,80
2048,17,44796,53
2048,6,80,56012
2048,17,53,44796
2048,17,45961,53
2048,17,53,45961
2048,6,53452,443
2048,6,53434,443
2048,6,53438,443
2048,6,443,53452
2048,6,443,53434
2048,6,443,53438
2048,6,53456,443
2048,6,443,53456
2048,6,39218,443
2048,6,53458,443
2048,6,443,53458
2048,6,53464,443
2048,6,443,53464
2048,17,54754,53
2048,17,53,54754
2048,6,443,39218
2048,17,50529,53
2048,17,53,50529
2048,17,59966,53
2048,17,53,59966
2048,6,56704,80
2048,6,80,56704
2048,17,41226,53
2048,6,50354,80
2048,6,80,50354
2048,17,53,41226
2048,6,43734,443
2048,6,443,43734
2048,17,53687,53
2048,17,53,53687
2048,17,38454,443
2048,6,59124,80
2048,6,80,59124
2048,17,50845,53
2048,17,53,50845
2048,6,49636,443
2048,6,443,49636
2048,17,47850,443
2048,17,39222,53
2048,17,45445,53
2048,17,35230,53
2048,17,53,35230
2048,6,59466,443
2048,6,443,59466
2048,17,53,39222
2048,6,59124,443
2048,6,443,59124
2048,17,56013,53
2048,17,53,45445
2048,6,43542,443
2048,6,43554,443
2048,6,43556,443
2048,6,43564,443
2048,6,43580,443
2048,6,43596,443
2048,17,53,56013
2048,6,52508,443
2048,6,443,43554
2048,6,443,43564
2048,6,443,43542
2048,6,443,43580
2048,6,443,52508
2048,6,443,43556
2048,6,443,43596
2048,6,56690,443
2048,6,39768,443
2048,6,56922,443
2048,6,54336,443
2048,6,42672,443
2048,6,443,39768
2048,6,443,56922
2048,6,443,54336
2048,6,443,42672
2048,6,443,56690
2048,6,58294,443
2048,6,58302,443
2048,6,58304,443
2048,6,443,58294
2048,6,443,58302
2048,6,443,58304
2048,17,43044,443
2048,17,53072,53
2048,17,53,53072
2048,6,36690,443
2048,6,36682,443
2048,6,36706,443
2048,6,36720,443
2048,6,443,36690
2048,6,443,36706
2048,6,443,36682
2048,6,443,36720
2048,6,50356,80
2048,6,80,50356
2048,17,56090,53
2048,17,48527,53
2048,17,53,48527
2048,6,60692,443
2048,6,443,60692
2048,6,52518,443
2048,6,443,52518
2048,17,53,56090
2048,6,48318,443
2048,6,443,48318
2048,17,48841,53
2048,17,53,48841
2048,17,52397,443
2048,17,47046,53
2048,17,53,47046
2048,6,49840,80
2048,6,49824,80
2048,6,80,49840
2048,6,80,49824
2048,6,45120,443
2048,6,443,45120
2048,6,443,44446
2048,6,44454,443
2048,6,44442,443
2048,6,443,44442
2048,6,443,44454
2048,17,39555,53
2048,17,53,39555
2048,6,443,39218
2048,6,39218,443
2048,6,56606,443
2048,6,41214,443
2048,6,443,56606
2048,6,41228,443
2048,6,443,41214
2048,6,443,57974
2048,6,443,57974
2048,6,57974,443
2048,6,443,51092
2048,6,51092,443
2048,6,443,41228
2048,17,56554,53
2048,17,53,56554
2048,6,45672,80
2048,6,80,45672
2048,6,59124,80
2048,6,80,59124
2048,17,42453,53
2048,17,53,42453
2048,17,51949,53
2048,6,46984,443
2048,17,53,51949
2048,6,51526,443
2048,6,51542,443
2048,6,443,46984
2048,6,443,51542
2048,6,443,51526
2048,17,48201,53
2048,17,53,48201
2048,17,48270,53
2048,17,53,48270
2048,17,60573,53
2048,17,53,60573
2048,6,36056,80
2048,6,80,36056
2048,17,39977,53
2048,17,53,39977
2048,6,35458,443
2048,6,443,35458
2048,17,42863,53
2048,6,45120,443
2048,6,57232,443
2048,6,46236,443
2048,6,443,57232
2048,6,443,46236
2048,17,53,42863
2048,6,443,45120
2048,6,51168,443
2048,6,443,51168
2048,6,38236,443
2048,6,46238,443
2048,6,443,46238
2048,6,443,58294
2048,6,443,58304
2048,17,44997,53
2048,17,53,44997
2048,6,443,38236
2048,17,40157,53
2048,17,53,40157
2048,17,37591,53
2048,17,53,37591
2048,6,46656,80
2048,6,80,46656
2048,6,47810,443
2048,6,443,47810
2048,6,50356,80
2048,6,80,50356
2048,6,59358,443
2048,6,50942,443
2048,6,42608,443
2048,6,443,50942
2048,6,443,59358
2048,6,443,42608
2048,6,60058,443
2048,6,52756,443
2048,6,59886,443
2048,6,443,60058
2048,6,443,59886
2048,6,443,52756
2048,6,44446,443
2048,6,443,44446
2048,6,48474,443
2048,6,41016,443
2048,6,41438,443
2048,6,443,41016
2048,6,443,41438
2048,6,443,48474
2048,6,44454,443
2048,6,44442,443
2048,6,443,44442
2048,6,443,44454
2048,6,51588,443
2048,6,443,54052
2048,6,443,51588
2048,6,35986,443
2048,6,55346,443
2048,6,35914,443
2048,6,443,35986
2048,6,443,55346
2048,6,443,35914
2048,17,58550,53
2048,6,56704,80
2048,6,80,56704
2048,17,53,58550
2048,6,33364,443
2048,6,443,33364
2048,6,42960,80
2048,6,80,42960
2048,17,47322,53
2048,17,53,47322
2048,6,47742,80
2048,6,80,47742
2048,6,59352,443
2048,6,443,59352
2048,6,50354,80
2048,6,80,50354
2048,17,52637,53
2048,17,53,52637
2048,6,52366,443
2048,6,52378,443
2048,6,443,52366
2048,6,443,52378
2048,17,40754,53
2048,6,45672,80
2048,6,80,45672
2048,17,53,40754
2048,6,58654,443
2048,17,34032,53
2048,6,443,58654
2048,17,53,34032
2048,6,39830,443
2048,6,59124,80
2048,6,443,39830
2048,6,80,59124
2048,17,56466,53
2048,17,53,56466
2048,17,45199,53
2048,17,53,45199
2048,17,36142,443
2048,17,41570,53
2048,17,46542,53
2048,17,53,41570
2048,17,53,46542
2048,17,41072,53
2048,17,53,41072
2048,17,40009,53
2048,17,53,40009
2048,17,54283,53
2048,17,53,54283
2048,17,57524,53
2048,17,56299,53
2048,17,52004,53
2048,17,53,57524
2048,17,53,56299
2048,17,53,52004
2048,6,57180,443
2048,6,40952,443
2048,6,443,40952
2048,6,443,57180
2048,6,47492,443
2048,6,443,47492
2048,6,55338,443
2048,6,35928,443
2048,6,50494,443
2048,6,443,35928
2048,17,37045,53
2048,6,443,50494
2048,6,44586,443
2048,6,443,44586
2048,6,44598,443
2048,17,56448,53
2048,17,53,56448
2048,6,443,44598
2048,17,46278,53
2048,6,44608,443
2048,6,443,44608
2048,17,60878,443
2048,17,53,37045
2048,6,52312,443
2048,6,443,52312
2048,6,55354,443
2048,17,58087,443
2048,6,36056,80
2048,6,59558,443
2048,6,443,59558
2048,6,59568,443
2048,17,53,46278
2048,6,443,59568
2048,6,52322,443
2048,6,443,52322
2048,6,80,36056
2048,17,38421,53
2048,17,53,38421
2048,6,34522,443
