eth_type,ip_proto,src_port,dst_port,Category
2048,6,443,52536,HTTP
2048,17,56592,53,DNS
2048,17,53,56592,DNS
2048,6,59124,80,HTTP
2048,6,80,59124,HTTP
2048,17,53,38565,DNS
2048,6,48508,443,HTTP
2048,17,38405,53,DNS
2048,17,53,38405,DNS
2048,6,54038,80,HTTP
2048,17,51275,53,DNS
2048,17,37185,53,DNS
2048,17,53,51275,DNS
2048,17,53,37185,DNS
2048,6,80,54038,HTTP
2048,6,57756,443,HTTP
2048,6,443,57756,HTTP
2048,17,55019,53,DNS
2048,17,53,55019,DNS
2048,6,47650,443,HTTP
2048,6,443,47650,HTTP
2048,6,443,48508,HTTP
2048,17,53022,53,DNS
2048,17,53,53022,DNS
2048,17,56834,53,DNS
2048,17,33375,53,DNS
2048,17,53,56834,DNS
2048,17,53,33375,DNS
2048,6,57768,443,HTTP
2048,6,443,57768,HTTP
2048,17,39223,53,DNS
2048,17,36379,53,DNS
2048,17,34800,53,DNS
2048,17,53,39223,DNS
2048,17,53,34800,DNS
2048,17,53,36379,DNS
2048,6,57772,443,HTTP
2048,6,443,57772,HTTP
2048,17,54874,53,DNS
2048,17,50512,53,DNS
2048,17,53,50512,DNS
2048,17,53,54874,DNS
2048,6,57786,443,HTTP
2048,6,443,57786,HTTP
2048,17,50967,53,DNS
2048,17,55989,53,DNS
2048,17,53,50967,DNS
2048,17,53,55989,DNS
2048,6,57794,443,HTTP
2048,6,443,57794,HTTP
2048,17,34926,53,DNS
2048,17,42273,53,DNS
2048,17,53,34926,DNS
2048,17,53,42273,DNS
2048,6,57798,443,HTTP
2048,6,443,57798,HTTP
2048,17,49528,53,DNS
2048,17,38319,53,DNS
2048,17,53,49528,DNS
2048,17,53,38319,DNS
2048,6,58206,443,HTTP
2048,6,51890,443,HTTP
2048,6,51898,443,HTTP
2048,6,443,58206,HTTP
2048,17,59839,53,DNS
2048,17,52327,53,DNS
2048,17,53,52327,DNS
2048,17,53,59839,DNS
2048,6,57804,443,HTTP
2048,6,443,57804,HTTP
2048,6,443,51898,HTTP
2048,6,443,51890,HTTP
2048,17,51450,53,DNS
2048,17,53,51450,DNS
2048,6,50354,80,HTTP
2048,6,80,50354,HTTP
2048,17,40470,53,DNS
2048,17,52925,53,DNS
2048,17,53,52925,DNS
2048,17,53,40470,DNS
2048,6,57820,443,HTTP
2048,6,443,57820,HTTP
2048,17,60412,443,HTTP
2048,17,37610,53,DNS
2048,17,40449,53,DNS
2048,17,60484,443,HTTP
2048,17,53,40449,DNS
2048,17,53,37610,DNS
2048,6,57824,443,HTTP
2048,6,443,57824,HTTP
2048,6,57832,443,HTTP
2048,6,443,57832,HTTP
2048,17,52402,53,DNS
2048,17,42406,53,DNS
2048,17,53,42406,DNS
2048,17,53,52402,DNS
2048,6,57840,443,HTTP
2048,6,443,57840,HTTP
2048,6,57850,443,HTTP
2048,6,443,57850,HTTP
2048,17,56605,53,DNS
2048,17,54505,53,DNS
2048,17,53,56605,DNS
2048,17,53,54505,DNS
2048,6,57862,443,HTTP
2048,6,443,57862,HTTP
2048,17,34996,53,DNS
2048,17,46530,53,DNS
2048,17,53,34996,DNS
2048,17,53,46530,DNS
2048,6,57874,443,HTTP
2048,6,443,57874,HTTP
2048,6,57876,443,HTTP
2048,6,443,57876,HTTP
2048,17,36054,53,DNS
2048,17,53,36054,DNS
2048,6,35596,443,HTTP
2048,6,443,35596,HTTP
2048,17,50009,53,DNS
2048,17,45845,53,DNS
2048,17,53,45845,DNS
2048,17,53,50009,DNS
2048,6,57888,443,HTTP
2048,17,46518,53,DNS
2048,17,53,46518,DNS
2048,6,443,57888,HTTP
2048,17,34332,53,DNS
2048,17,49946,53,DNS
2048,17,53,34332,DNS
2048,17,53,49946,DNS
2048,6,57902,443,HTTP
2048,6,443,57902,HTTP
2048,6,57916,443,HTTP
2048,6,443,57916,HTTP
2048,6,57922,443,HTTP
2048,17,48133,443,HTTP
2048,6,443,57922,HTTP
2048,17,52078,53,DNS
2048,17,39919,53,DNS
2048,17,51286,53,DNS
2048,17,53,51286,DNS
2048,17,53,39919,DNS
2048,6,57938,443,HTTP
2048,6,443,57938,HTTP
2048,6,57952,443,HTTP
2048,6,443,57952,HTTP
2048,17,45506,53,DNS
2048,17,53,45506,DNS
2048,6,47776,443,HTTP
2048,17,53,52078,DNS
2048,6,47790,443,HTTP
2048,6,443,47776,HTTP
2048,6,443,47790,HTTP
2048,6,47322,443,HTTP
2048,6,443,47322,HTTP
2048,17,34715,53,DNS
2048,17,53,34715,DNS
2048,6,49102,443,HTTP
2048,6,443,49102,HTTP
2048,17,48611,53,DNS
2048,6,50356,80,HTTP
2048,17,53,48611,DNS
2048,6,80,50356,HTTP
2048,17,36966,53,DNS
2048,17,35377,53,DNS
2048,17,53,36966,DNS
2048,17,53,35377,DNS
2048,6,57954,443,HTTP
2048,6,443,57954,HTTP
2048,17,52712,443,HTTP
2048,17,35549,443,HTTP
2048,17,38724,53,DNS
2048,17,53,38724,DNS
2048,17,33920,53,DNS
2048,17,53,33920,DNS
2048,6,34124,443,HTTP
2048,6,443,34124,HTTP
2048,6,45672,80,HTTP
2048,6,80,45672,HTTP
2048,6,22,44770,SSH
2048,6,44770,22,SSH
2048,17,45978,53,DNS
2048,17,53,45978,DNS
2048,6,47150,443,HTTP
2048,6,443,47150,HTTP
2048,17,50863,53,DNS
2048,17,53,50863,DNS
2048,6,50356,80,HTTP
2048,6,80,50356,HTTP
2048,6,22,41410,SSH
2048,6,41410,22,SSH
2048,6,50354,80,HTTP
2048,6,80,50354,HTTP
2048,6,8080,42448,STREAMING
2048,6,42448,8080,STREAMING
2048,6,42276,8080,STREAMING
2048,6,8080,42276,STREAMING
2048,17,42633,53,DNS
2048,17,53,42633,DNS
2048,6,38902,443,HTTP
2048,6,38908,443,HTTP
2048,6,38922,443,HTTP
2048,6,38938,443,HTTP
2048,6,38946,443,HTTP
2048,6,38954,443,HTTP
2048,6,443,38946,HTTP
2048,6,443,38922,HTTP
2048,6,443,38902,HTTP
2048,6,443,38908,HTTP
2048,6,443,38938,HTTP
2048,6,443,38954,HTTP
2048,17,56483,1234,STREAMING
2048,17,57662,1234,STREAMING
2048,17,37610,1236,STREAMING
2048,17,45487,1236,STREAMING
2048,6,38968,443,HTTP
2048,6,38984,443,HTTP
2048,6,38988,443,HTTP
2048,6,38992,443,HTTP
2048,6,38998,443,HTTP
2048,6,39000,443,HTTP
2048,6,443,38992,HTTP
2048,6,443,38968,HTTP
2048,6,443,38988,HTTP
2048,6,443,38998,HTTP
2048,6,443,39000,HTTP
2048,6,443,38984,HTTP
2048,17,34792,53,DNS
2048,17,55371,53,DNS
2048,17,53,55371,DNS
2048,6,50314,443,HTTP
2048,17,53,34792,DNS
2048,6,56992,443,HTTP
2048,6,443,50314,HTTP
2048,6,443,56992,HTTP
2048,17,43986,53,DNS
2048,17,53,43986,DNS
2048,17,39543,53,DNS
2048,6,55302,80,HTTP
2048,17,53,39543,DNS
2048,1,0,0,ICMP
2048,6,80,55302,HTTP
2048,17,37611,1237,STREAMING
2048,17,45488,1237,STREAMING
2048,17,56484,1235,STREAMING
2048,17,57663,1235,STREAMING
2048,6,59124,80,HTTP
2048,6,80,59124,HTTP
2048,6,54038,80,HTTP
2048,6,80,54038,HTTP
2048,17,56886,53,DNS
2048,17,53,56886,DNS
2048,17,36398,53,DNS
2048,17,53,36398,DNS
2048,6,54548,443,HTTP
2048,6,54554,443,HTTP
2048,6,54526,443,HTTP
2048,6,54540,443,HTTP
2048,6,54566,443,HTTP
2048,6,54576,443,HTTP
2048,6,443,54540,HTTP
2048,6,443,54554,HTTP
2048,6,443,54548,HTTP
2048,6,443,54526,HTTP
2048,6,443,54566,HTTP
2048,6,443,54576,HTTP
2048,6,50356,80,HTTP
2048,6,80,50356,HTTP
2048,6,50354,80,HTTP
2048,6,80,50354,HTTP
2048,6,49824,80,HTTP
2048,6,80,49824,HTTP
2048,6,80,45670,HTTP
2048,6,49840,80,HTTP
2048,6,49258,443,HTTP
2048,6,80,49840,HTTP
2048,6,443,49258,HTTP
2048,17,43256,53,DNS
2048,17,38313,53,DNS
2048,17,53,38313,DNS
2048,17,53,43256,DNS
2048,1,0,0,ICMP
2048,6,45672,80,HTTP
2048,6,80,45672,HTTP
2048,6,59124,80,HTTP
2048,6,80,59124,HTTP
2048,6,54038,80,HTTP
2048,6,80,54038,HTTP
2048,17,57204,53,DNS
2048,17,53,57204,DNS
2048,6,39768,443,HTTP
2048,6,443,39768,HTTP
2048,17,34278,53,DNS
2048,17,53,34278,DNS
2048,17,44655,53,DNS
2048,17,33658,53,DNS
2048,17,53,44655,DNS
2048,17,53,33658,DNS
2048,6,42672,443,HTTP
2048,6,56666,443,HTTP
2048,6,56668,443,HTTP
2048,6,56670,443,HTTP
2048,6,56676,443,HTTP
2048,6,56690,443,HTTP
2048,6,443,42672,HTTP
2048,6,443,56690,HTTP
2048,6,443,56666,HTTP
2048,6,443,56676,HTTP
2048,6,443,56668,HTTP
2048,6,443,56670,HTTP
2048,6,50356,80,HTTP
2048,6,80,50356,HTTP
2048,17,53840,53,DNS
2048,17,53,53840,DNS
2048,6,42956,80,HTTP
2048,17,55110,53,DNS
2048,6,42960,80,HTTP
2048,6,42966,80,HTTP
2048,17,53,55110,DNS
2048,6,80,42956,HTTP
2048,6,80,42960,HTTP
2048,6,80,42966,HTTP
2048,17,55700,53,DNS
2048,17,49919,443,HTTP
2048,17,53,55700,DNS
2048,17,48289,443,HTTP
2048,17,41716,53,DNS
2048,17,53,41716,DNS
2048,6,54336,443,HTTP
2048,6,443,54336,HTTP
2048,17,55406,53,DNS
2048,17,54312,443,HTTP
2048,17,53,55406,DNS
2048,6,56922,443,HTTP
2048,6,443,56922,HTTP
2048,17,47584,53,DNS
2048,17,53,47584,DNS
2048,17,55310,443,HTTP
2048,6,49824,80,HTTP
2048,6,80,49824,HTTP
2048,6,80,45670,HTTP
2048,6,49840,80,HTTP
2048,6,49258,443,HTTP
2048,6,80,49840,HTTP
2048,6,443,49258,HTTP
2048,6,59124,80,HTTP
2048,6,80,59124,HTTP
2048,17,40721,53,DNS
2048,17,53,40721,DNS
2048,6,59358,443,HTTP
2048,6,443,59358,HTTP
2048,17,40812,53,DNS
2048,17,53,40812,DNS
2048,6,36056,80,HTTP
2048,6,80,36056,HTTP
2048,6,54038,80,HTTP
2048,6,80,54038,HTTP
2048,6,49824,80,HTTP
2048,6,80,49824,HTTP
2048,17,34412,53,DNS
2048,17,35966,53,DNS
2048,17,39563,53,DNS
2048,17,53,34412,DNS
2048,17,53,35966,DNS
2048,17,53,39563,DNS
2048,6,41438,443,HTTP
2048,6,50942,443,HTTP
2048,1,0,0,ICMP
2048,6,443,41438,HTTP
2048,6,443,50942,HTTP
2048,6,45670,80,HTTP
2048,6,80,45670,HTTP
2048,6,49840,80,HTTP
2048,6,49258,443,HTTP
2048,6,80,49840,HTTP
2048,6,443,49258,HTTP
2048,17,51737,53,DNS
2048,17,53,51737,DNS
2048,6,42608,443,HTTP
2048,6,443,42608,HTTP
2048,6,59344,443,HTTP
2048,6,443,59344,HTTP
2048,17,49792,53,DNS
2048,17,53,49792,DNS
2048,17,54144,53,DNS
2048,17,53,54144,DNS
2048,17,54762,443,HTTP
2048,6,59352,443,HTTP
2048,6,443,59352,HTTP
2048,17,51155,53,DNS
2048,17,53,51155,DNS
2048,6,35856,443,HTTP
2048,6,443,35856,HTTP
2048,6,35870,443,HTTP
2048,6,60516,443,HTTP
2048,6,443,35870,HTTP
2048,6,443,60516,HTTP
2048,6,35874,443,HTTP
2048,6,443,35874,HTTP
2048,6,35888,443,HTTP
2048,6,443,35888,HTTP
2048,6,35896,443,HTTP
2048,6,443,35896,HTTP
2048,6,35906,443,HTTP
2048,6,443,35906,HTTP
2048,6,35908,443,HTTP
2048,6,443,35908,HTTP
2048,6,35914,443,HTTP
2048,6,443,35914,HTTP
2048,17,49744,53,DNS
2048,17,53,49744,DNS
2048,17,46598,443,HTTP
2048,17,36386,53,DNS
2048,17,53,36386,DNS
2048,6,52756,443,HTTP
2048,6,443,52756,HTTP
2048,17,36419,53,DNS
2048,17,53,36419,DNS
2048,17,57981,53,DNS
2048,17,53,57981,DNS
2048,17,52441,443,HTTP
2048,6,60042,443,HTTP
2048,17,51660,53,DNS
2048,17,47685,53,DNS
2048,17,53,51660,DNS
2048,17,53,47685,DNS
2048,6,35986,443,HTTP
2048,6,59886,443,HTTP
2048,6,443,60042,HTTP
2048,6,443,59886,HTTP
2048,6,443,35986,HTTP
2048,6,60052,443,HTTP
2048,6,443,60052,HTTP
2048,6,60058,443,HTTP
2048,6,443,60058,HTTP
2048,17,35598,53,DNS
2048,17,53,35598,DNS
2048,17,53688,443,HTTP
2048,17,50134,443,HTTP
2048,17,40043,443,HTTP
2048,17,37257,53,DNS
2048,17,53,37257,DNS
2048,6,55330,443,HTTP
2048,6,55346,443,HTTP
2048,17,50081,53,DNS
2048,17,53,50081,DNS
2048,6,443,55330,HTTP
2048,6,443,55346,HTTP
2048,6,41016,443,HTTP
2048,6,443,41016,HTTP
2048,17,36072,53,DNS
2048,17,53,36072,DNS
2048,17,50638,443,HTTP
2048,17,34650,53,DNS
2048,17,52816,53,DNS
2048,17,53,34650,DNS
2048,17,53,52816,DNS
2048,17,41310,443,HTTP
2048,6,58636,443,HTTP
2048,6,443,58636,HTTP
2048,17,49141,53,DNS
2048,17,53,49141,DNS
2048,6,48474,443,HTTP
2048,6,443,48474,HTTP
2048,6,45672,80,HTTP
2048,6,80,45672,HTTP
2048,17,58144,443,HTTP
2048,6,59124,80,HTTP
2048,6,80,59124,HTTP
2048,17,57656,53,DNS
2048,17,53,57656,DNS
2048,6,47086,443,HTTP
2048,6,47100,443,HTTP
2048,6,443,47100,HTTP
2048,6,443,47086,HTTP
2048,17,45438,443,HTTP
2048,17,53113,53,DNS
2048,17,53,53113,DNS
2048,17,57179,53,DNS
2048,17,49208,53,DNS
2048,17,53,49208,DNS
2048,17,53,57179,DNS
2048,17,45045,53,DNS
2048,17,53,45045,DNS
2048,6,22,44770,SSH
2048,6,44770,22,SSH
2048,17,45302,53,DNS
2048,17,53,45302,DNS
2048,17,37634,53,DNS
2048,17,53,37634,DNS
2048,17,34715,53,DNS
2048,17,39751,53,DNS
2048,17,46649,53,DNS
2048,17,53,34715,DNS
2048,17,53,39751,DNS
2048,17,53,46649,DNS
2048,17,39655,53,DNS
2048,17,53,39655,DNS
2048,6,44442,443,HTTP
2048,6,443,44442,HTTP
2048,17,35209,53,DNS
2048,17,53,35209,DNS
2048,17,40439,53,DNS
2048,17,53,40439,DNS
2048,17,35757,53,DNS
2048,17,48265,53,DNS
2048,17,58187,53,DNS
2048,17,37997,53,DNS
2048,17,53,58187,DNS
2048,17,53,37997,DNS
2048,17,59760,53,DNS
2048,6,34812,443,HTTP
2048,6,34814,443,HTTP
2048,6,48610,443,HTTP
2048,17,55183,53,DNS
2048,17,53,48265,DNS
2048,17,53,59760,DNS
2048,6,49332,443,HTTP
2048,17,53,55183,DNS
2048,6,38538,443,HTTP
2048,6,38524,443,HTTP
2048,6,38548,443,HTTP
2048,6,443,48610,HTTP
2048,6,443,49332,HTTP
2048,6,443,34812,HTTP
2048,6,443,34814,HTTP
2048,6,443,38524,HTTP
2048,6,443,38538,HTTP
2048,6,443,38548,HTTP
2048,17,44233,443,HTTP
2048,17,53,35757,DNS
2048,6,44446,443,HTTP
2048,6,44454,443,HTTP
2048,17,55759,443,HTTP
2048,17,49890,53,DNS
2048,17,53,49890,DNS
2048,6,60846,443,HTTP
2048,6,443,60846,HTTP
2048,6,443,44454,HTTP
2048,6,443,44446,HTTP
2048,6,44470,443,HTTP
2048,6,44480,443,HTTP
2048,6,41998,443,HTTP
2048,6,47108,443,HTTP
2048,6,443,44470,HTTP
2048,6,443,44480,HTTP
2048,6,443,41998,HTTP
2048,6,443,47108,HTTP
2048,17,43574,443,HTTP
2048,17,53230,53,DNS
2048,17,38847,53,DNS
2048,17,53,53230,DNS
2048,17,53,38847,DNS
2048,17,37332,53,DNS
2048,17,53,37332,DNS
2048,17,36138,53,DNS
2048,17,53,36138,DNS
2048,17,50598,53,DNS
2048,17,53,50598,DNS
2048,6,40428,443,HTTP
2048,17,35711,53,DNS
2048,17,53,35711,DNS
2048,6,46566,443,HTTP
2048,6,443,46566,HTTP
2048,6,46578,443,HTTP
2048,6,45670,80,HTTP
2048,6,443,46578,HTTP
2048,6,46590,443,HTTP
2048,6,443,46590,HTTP
2048,6,46592,443,HTTP
2048,6,443,46592,HTTP
2048,6,80,45670,HTTP
2048,6,443,40428,HTTP
2048,17,57520,443,HTTP
2048,17,44760,53,DNS
2048,17,53,44760,DNS
2048,17,45367,53,DNS
2048,17,53,45367,DNS
2048,6,47340,443,HTTP
2048,6,443,47340,HTTP
2048,6,47650,443,HTTP
2048,6,41796,443,HTTP
2048,6,443,47650,HTTP
2048,6,443,41796,HTTP
2048,6,50356,80,HTTP
2048,6,80,50356,HTTP
2048,6,80,42960,HTTP
2048,6,80,42956,HTTP
2048,6,42966,80,HTTP
2048,6,50354,80,HTTP
2048,6,80,42966,HTTP
2048,6,80,50354,HTTP
2048,6,35596,443,HTTP
2048,6,443,35596,HTTP
2048,6,47776,443,HTTP
2048,6,51898,443,HTTP
2048,6,58206,443,HTTP
2048,6,47322,443,HTTP
2048,6,443,47322,HTTP
2048,6,443,58206,HTTP
2048,6,443,47776,HTTP
2048,6,443,51898,HTTP
2048,17,53439,53,DNS
2048,17,53,53439,DNS
2048,6,39122,443,HTTP
2048,6,443,39122,HTTP
2048,17,58208,53,DNS
2048,17,59744,53,DNS
2048,17,53,58208,DNS
2048,17,53,59744,DNS
2048,6,49886,443,HTTP
2048,6,443,49886,HTTP
2048,17,46459,53,DNS
2048,17,53,46459,DNS
2048,6,56696,443,HTTP
2048,6,443,56696,HTTP
2048,17,51313,443,HTTP
2048,6,37182,443,HTTP
2048,6,37186,443,HTTP
2048,6,37192,443,HTTP
2048,6,37204,443,HTTP
2048,6,37212,443,HTTP
2048,6,37224,443,HTTP
2048,6,443,37186,HTTP
2048,6,443,37204,HTTP
2048,6,443,37182,HTTP
2048,6,443,37192,HTTP
2048,6,443,37224,HTTP
2048,6,443,37212,HTTP
2048,6,48508,443,HTTP
2048,6,443,48508,HTTP
2048,17,39353,53,DNS
2048,17,53,39353,DNS
2048,6,40720,443,HTTP
2048,6,443,40720,HTTP
2048,6,40736,443,HTTP
2048,6,443,40736,HTTP
2048,6,34124,443,HTTP
2048,6,443,34124,HTTP
2048,17,54746,53,DNS
2048,17,53,54746,DNS
2048,6,59280,443,HTTP
2048,6,443,59280,HTTP
2048,6,50356,80,HTTP
2048,6,80,50356,HTTP
2048,17,39777,53,DNS
2048,17,53,39777,DNS
2048,17,60663,53,DNS
2048,17,53,60663,DNS
2048,6,41346,443,HTTP
2048,6,49048,443,HTTP
2048,6,49062,443,HTTP
2048,6,49072,443,HTTP
2048,6,49084,443,HTTP
2048,6,49092,443,HTTP
2048,6,443,41346,HTTP
2048,6,443,49092,HTTP
2048,6,443,49072,HTTP
2048,6,443,49084,HTTP
2048,6,443,49048,HTTP
2048,6,443,49062,HTTP
2048,17,54999,53,DNS
2048,17,41229,53,DNS
2048,17,41798,53,DNS
2048,17,53,54999,DNS
2048,17,53,41229,DNS
2048,17,57235,53,DNS
2048,17,53,57235,DNS
2048,6,57952,443,HTTP
2048,6,57960,443,HTTP
2048,6,51092,443,HTTP
2048,6,57974,443,HTTP
2048,6,57980,443,HTTP
2048,6,443,51092,HTTP
2048,17,46841,53,DNS
2048,17,53,46841,DNS
2048,6,60226,443,HTTP
2048,6,443,60226,HTTP
2048,17,42395,443,HTTP
2048,6,51102,443,HTTP
2048,6,51104,443,HTTP
2048,6,51114,443,HTTP
2048,6,443,51102,HTTP
2048,6,443,51104,HTTP
2048,6,443,51114,HTTP
2048,6,51132,443,HTTP
2048,6,51128,443,HTTP
2048,6,51142,443,HTTP
2048,6,443,51132,HTTP
2048,6,443,51128,HTTP
2048,6,443,51142,HTTP
2048,17,46537,53,DNS
2048,6,57988,443,HTTP
2048,17,53,46537,DNS
2048,6,57992,443,HTTP
2048,6,443,57960,HTTP
2048,6,443,57952,HTTP
2048,6,443,57980,HTTP
2048,6,443,57974,HTTP
2048,17,53,41798,DNS
2048,6,51152,443,HTTP
2048,6,443,51152,HTTP
2048,17,47992,53,DNS
2048,17,53,47992,DNS
2048,6,51156,443,HTTP
2048,6,54968,443,HTTP
2048,6,54984,443,HTTP
2048,6,443,51156,HTTP
2048,6,51166,443,HTTP
2048,6,443,51166,HTTP
2048,6,51170,443,HTTP
2048,17,35438,53,DNS
2048,6,42960,80,HTTP
2048,17,53,35438,DNS
2048,6,443,51170,HTTP
2048,6,80,42960,HTTP
2048,17,40556,443,HTTP
2048,6,443,57988,HTTP
2048,6,443,54968,HTTP
2048,6,443,54984,HTTP
2048,6,443,57992,HTTP
2048,17,46323,53,DNS
2048,6,42956,80,HTTP
2048,6,80,42956,HTTP
2048,17,53,46323,DNS
2048,17,52497,53,DNS
2048,17,53,52497,DNS
2048,6,58550,443,HTTP
2048,17,39488,53,DNS
2048,17,53,39488,DNS
2048,6,443,58550,HTTP
2048,6,59124,80,HTTP
2048,6,39328,443,HTTP
2048,6,47796,443,HTTP
2048,6,80,59124,HTTP
2048,6,443,39328,HTTP
2048,6,443,47796,HTTP
2048,17,41739,53,DNS
2048,17,53,41739,DNS
2048,6,42966,80,HTTP
2048,6,50354,80,HTTP
2048,6,80,50354,HTTP
2048,6,80,42966,HTTP
2048,6,58274,443,HTTP
2048,6,443,58274,HTTP
2048,17,53883,443,HTTP
2048,17,43002,53,DNS
2048,17,53,43002,DNS
2048,17,50948,443,HTTP
2048,6,36056,80,HTTP
2048,6,47074,443,HTTP
2048,6,443,47074,HTTP
2048,6,80,36056,HTTP
2048,17,44005,443,HTTP
2048,17,50217,53,DNS
2048,17,53,50217,DNS
2048,6,59036,443,HTTP
2048,6,443,59036,HTTP
2048,17,52414,53,DNS
2048,17,53,52414,DNS
2048,6,59192,443,HTTP
2048,6,443,59192,HTTP
2048,17,57981,443,HTTP
2048,17,43729,53,DNS
2048,17,53,43729,DNS
2048,6,59040,443,HTTP
2048,6,443,59040,HTTP
2048,17,58935,443,HTTP
2048,6,42276,8080,STREAMING
2048,6,8080,42276,STREAMING
2048,6,49102,443,HTTP
2048,6,443,49102,HTTP
2048,6,38988,443,HTTP
2048,6,443,38988,HTTP
2048,17,41125,53,DNS
2048,17,53,41125,DNS
2048,6,55894,443,HTTP
2048,6,443,55894,HTTP
2048,17,49745,53,DNS
2048,17,53,49745,DNS
2048,17,59946,443,HTTP
2048,6,443,44446,HTTP
2048,17,38758,53,DNS
2048,17,53,38758,DNS
2048,17,38654,53,DNS
2048,17,34593,53,DNS
2048,6,39240,443,HTTP
2048,6,39252,443,HTTP
2048,17,53,38654,DNS
2048,17,53,34593,DNS
2048,6,37668,443,HTTP
2048,6,60236,443,HTTP
2048,6,443,39240,HTTP
2048,6,443,39252,HTTP
2048,6,443,37668,HTTP
2048,6,443,60236,HTTP
2048,17,44944,53,DNS
2048,6,44454,443,HTTP
2048,6,44442,443,HTTP
2048,17,53560,53,DNS
2048,17,53,53560,DNS
2048,17,53,44944,DNS
2048,6,52530,443,HTTP
2048,6,443,44454,HTTP
2048,6,443,44442,HTTP
2048,6,443,52530,HTTP
2048,17,59679,443,HTTP
2048,17,39623,53,DNS
2048,17,53,39623,DNS
2048,6,55664,443,HTTP
2048,6,443,55664,HTTP
2048,17,53678,53,DNS
2048,17,53,53678,DNS
2048,6,52268,443,HTTP
2048,6,52270,443,HTTP
2048,6,52262,443,HTTP
2048,6,443,52268,HTTP
2048,6,443,52270,HTTP
2048,6,443,52262,HTTP
2048,17,39493,53,DNS
2048,17,53,39493,DNS
2048,6,443,35914,HTTP
2048,6,35914,443,HTTP
2048,17,53193,53,DNS
2048,17,53,53193,DNS
2048,6,52048,443,HTTP
2048,6,52050,443,HTTP
2048,6,443,52048,HTTP
2048,6,52060,443,HTTP
2048,6,443,52050,HTTP
2048,6,52076,443,HTTP
2048,6,52082,443,HTTP
2048,6,443,52060,HTTP
2048,6,52098,443,HTTP
2048,6,443,52076,HTTP
2048,6,443,52082,HTTP
2048,6,443,52098,HTTP
2048,6,44492,443,HTTP
2048,6,44504,443,HTTP
2048,6,44508,443,HTTP
2048,6,44518,443,HTTP
2048,6,443,44518,HTTP
2048,6,443,44492,HTTP
2048,6,443,44504,HTTP
2048,6,443,44508,HTTP
2048,6,54854,443,HTTP
2048,6,54858,443,HTTP
2048,6,443,54854,HTTP
2048,6,443,54858,HTTP
2048,6,443,60058,HTTP
2048,6,60058,443,HTTP
2048,17,56011,53,DNS
2048,17,53,56011,DNS
2048,17,33111,53,DNS
2048,17,53,33111,DNS
2048,6,54862,443,HTTP
2048,6,54878,443,HTTP
2048,17,48277,53,DNS
