number,value,state,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_best_iterations,user_attrs_fold_macro_f1_scores,user_attrs_mean_macro_f1,user_attrs_median_best_iteration,user_attrs_std_macro_f1
15,0.8775039493385922,COMPLETE,0.9691622943350102,1.9051911359458198,0.049807735251192475,8.353228895826327,2,12.48624579176662,1.9993813358176497e-07,0.001796068917972307,0.6997485108520206,"[1077, 1194, 367, 680, 1150]","[0.8761600822790481, 0.8761600770481305, 0.876753129643763, 0.8838831547261725, 0.8745633029958472]",0.8775039493385922,1077.0,0.0036577781476934716
16,0.8860588486128821,COMPLETE,0.9586037504295936,0.2909856001405813,0.20634696176485215,5.048347615075292,3,14.7375075737111,3.181532096129362e-06,0.0022009307144994494,0.8777119980538531,"[556, 853, 640, 620, 771]","[0.8868259662744605, 0.8827155174586941, 0.8792485638642626, 0.8950222700171595, 0.8864819254498327]",0.8860588486128821,640.0,0.005887873732324144
17,0.890561302687449,COMPLETE,0.8188699723249115,0.4609978194645284,0.2245754497465148,2.018508593460629,2,6.082708144044759,0.019785563174351033,0.0022817635930808557,0.8429407677402051,"[359, 595, 979, 246, 510]","[0.8746110176610429, 0.9007253858505717, 0.9040507004811279, 0.8950222700171595, 0.8783971394273431]",0.890561302687449,510.0,0.013299916627011557
18,0.8843326797852098,COMPLETE,0.8129154789012425,0.08810002363850372,0.18914954441732051,0.14617212909973087,3,3.052650780300695,0.2477880212378622,0.022804039350405265,0.7524135680543211,"[842, 762, 1095, 933, 1200]","[0.8805757746969209, 0.9007253858505717, 0.8921521271537973, 0.8917878980801855, 0.8564222131445737]",0.8843326797852098,933.0,0.017165032282679207
19,0.8764109851938485,COMPLETE,0.8804500291272027,0.06562349864937284,0.22163220784904106,4.314127481353518,2,2.290323459715052,0.03140283444836518,0.20096370958529713,0.9187996152761888,"[542, 413, 685, 476, 578]","[0.8827433705473596, 0.9043914833335391, 0.8564378425108947, 0.8820569226129724, 0.8564253069644767]",0.8764109851938485,542.0,0.020330013235810202
20,0.8761600796635893,PRUNED,0.7655563744911164,5.560637450888712,0.13791410740794297,3.951952580317873,3,3.748987402370117,0.3597294238602976,0.0015850079302375877,0.8852661709889387,,,,,
21,0.877715840776017,PRUNED,0.802639088127621,0.792637103067442,0.15084995827833367,1.519465698697637,2,18.76901543785271,7.49540439360793e-05,0.0024725255952501896,0.8359422480458562,,,,,
22,0.8871848106100263,COMPLETE,0.7615874175451279,0.4579452870850902,0.16854566166863352,7.228347655089182,2,9.887022217322418,1.4111024359318625,0.10988309257730539,0.8098361594476203,"[633, 830, 366, 621, 769]","[0.8868259662744605, 0.8827155174586941, 0.8792485638642626, 0.8950222700171595, 0.8921117354355543]",0.8871848106100263,633.0,0.006495916431386367
23,0.8761600796635893,PRUNED,0.8972743577925134,2.4935289766450426,0.22218649745547525,3.546810442846809,2,18.081838975708287,0.20672079455491435,0.014146533422122838,0.9247069609018481,,,,,
24,0.8794238673576706,PRUNED,0.9997209433992427,1.8981444607794788,0.11219830530281635,9.301472782796806,2,6.989262230328643,1.1929391290672157e-07,0.003948062530690244,0.8808918188978181,,,,,
25,0.8879128366599787,COMPLETE,0.8767686497094711,0.119522025790885,0.10184040997110687,8.828404863466128,3,18.366633963711816,0.0009128058854160658,0.004540253949302612,0.9424609395060687,"[1183, 1190, 1195, 1113, 1153]","[0.8839554732763802, 0.880544824839795, 0.8893615465879459, 0.8950222700171595, 0.8906800685786127]",0.8879128366599787,1183.0,0.0057063276005524105
26,0.8794238673576706,PRUNED,0.8077687870872678,2.5652558764968103,0.24222013249217658,0.9732617117861697,2,2.5246036222450225,9.487492361406324e-06,0.0018109551570268023,0.9322873711243002,,,,,
27,0.8801802097038592,COMPLETE,0.8437665409466318,0.7892360589501161,0.1314556339037189,8.425313034777485,5,16.74307843139989,0.002074483609631001,0.002092705752099619,0.8441764178102324,"[561, 853, 366, 795, 510]","[0.8853191122520309, 0.8827155174586941, 0.8760834709140501, 0.8805107794325551, 0.8762721684619663]",0.8801802097038592,561.0,0.004031173409105694
28,0.8839370768445848,COMPLETE,0.9188161075716329,1.0703653583940569,0.05348793392133519,4.517292889304091,2,6.68729939926436,0.0011108598707107072,0.03927389353653863,0.803022589235383,"[1078, 863, 982, 1198, 1150]","[0.8868259662744605, 0.8826876524362933, 0.8775492506440606, 0.8805107794325551, 0.8921117354355543]",0.8839370768445848,1078.0,0.00568497194568229
29,0.8824907141569853,PRUNED,0.8316656948780377,0.7415325710913614,0.19904473377227316,2.2456596824465915,2,5.277314951724228,0.0070749898426647395,0.005713107646035322,0.8514388102496747,,,,,
30,0.8761600796635893,PRUNED,0.9356952971397546,2.4887290721473927,0.06455462126846659,3.3981033890424692,5,18.120903911297585,0.9126240748267146,0.0031389766672895282,0.6870300218255543,,,,,
31,0.8761600796635893,PRUNED,0.9491790845918231,2.55987783250063,0.09171220446056771,8.500124963500364,2,27.223431548124413,0.00016819233440202252,0.02003038144584091,0.8711840013005929,,,,,
32,0.8761600796635893,PRUNED,0.9216650192076877,0.7898402652328748,0.1287394650981802,9.223850273421311,4,27.634731759309105,2.5459201625953732e-06,0.0010472145861351373,0.8973457995821342,,,,,
33,0.8774165748494347,PRUNED,0.8111091066251185,0.0948645579993794,0.03632825794298553,8.400238000807875,2,17.203016175087274,0.00012095980990568994,0.0018520753296345225,0.9972250037792751,,,,,
34,0.883592428855389,COMPLETE,0.8595015913870172,0.8799283968536159,0.16580983322238205,9.491760889773657,4,10.825369127135321,0.005018119926986469,0.03892640895070692,0.9236164986485484,"[373, 501, 366, 269, 510]","[0.8735110675574739, 0.894011664844041, 0.8792485638642626, 0.8805107794325551, 0.8906800685786127]",0.883592428855389,373.0,0.008496980158840659
35,0.8761600796635893,PRUNED,0.9343089791213539,1.4779093722494077,0.06174441469913776,7.77769784294121,2,23.61730907496662,0.7458773520565571,0.0043383537647796785,0.9840126315123697,,,,,
36,0.8871848106100263,COMPLETE,0.9305134064428655,0.26237286875451277,0.12498490532402515,5.786284434979771,4,14.190165358727386,0.002947562067599215,0.001102947348788585,0.7745199961142938,"[866, 627, 732, 681, 769]","[0.8868259662744605, 0.8827155174586941, 0.8792485638642626, 0.8950222700171595, 0.8921117354355543]",0.8871848106100263,732.0,0.006495916431386367
37,0.8872377990978546,COMPLETE,0.8840910725847083,0.2711715820053668,0.11151952287999564,9.390798219631842,2,16.824920624809803,0.0002403046118529662,0.0013882200727614027,0.944615053596643,"[1179, 1176, 1194, 880, 1015]","[0.8868259662744605, 0.8787071320175893, 0.8849535586014504, 0.8950222700171595, 0.8906800685786127]",0.8872377990978546,1176.0,0.0061360990952277995
38,0.8761600796635893,PRUNED,0.7986473413828367,2.793725147780343,0.07123197863627947,8.950903123576145,2,9.532424785811331,0.09784781476659275,0.0022225405565052675,0.892677502343738,,,,,
39,0.8888725231584464,COMPLETE,0.9330804489843151,0.10187856358814579,0.1840401592389191,8.54327430466928,2,15.391981848409308,0.003072532905282301,0.00433638518778186,0.9691372540148917,"[1039, 755, 1108, 661, 1199]","[0.8924743470865273, 0.8853191099742569, 0.8953679340272908, 0.8989245638314235, 0.872276660872734]",0.8888725231584464,1039.0,0.01053869548282762
40,0.8926195404983479,COMPLETE,0.7346441271322242,0.14013637419759534,0.1732935283365821,0.2748165542500962,2,6.034795539560315,0.020227081705476588,0.001266653725075639,0.83618593793046,"[927, 963, 1188, 795, 1150]","[0.8787411790455162, 0.9007253858505717, 0.9040507004811279, 0.9011832976871809, 0.8783971394273431]",0.8926195404983479,963.0,0.012889915568530029
41,0.8761600796635893,PRUNED,0.7353191755172818,1.4523733670031582,0.10230672786481416,0.15334300662417466,4,2.5424106994389613,0.0065628854805090744,0.0067334856364469915,0.8569003820874419,,,,,
42,0.8912263082903955,COMPLETE,0.7039915509932698,0.2063767855732998,0.21918984393390215,2.91117104410628,3,3.6453622480214136,0.015827575463560187,0.00740559972195366,0.7921554386741178,"[375, 386, 437, 309, 348]","[0.8827433705473596, 0.9007253858505717, 0.9040507004811279, 0.8917878980801855, 0.8768241864927323]",0.8912263082903955,375.0,0.011558484304558553
43,0.8761600796635893,PRUNED,0.7037043913853543,2.55603602937,0.0992961253678504,2.7412141334124183,2,7.7158788778854595,0.20316693561317067,0.002896496426231232,0.8148296634980363,,,,,
44,0.8770250578859431,PRUNED,0.777412952086462,0.8450462040604665,0.1913922385108762,0.1003407369411966,3,7.118854439111375,0.014305435291959843,0.0015916461966327998,0.8403186499191163,,,,,
45,0.8761600796635893,PRUNED,0.7132966501134954,1.8015552601169285,0.2145955817936588,0.4246755890096503,2,10.013488974822918,0.006324726298091221,0.01121639693516669,0.6832679507001711,,,,,
46,0.8761600796635893,PRUNED,0.9878474486755553,1.284949567830124,0.21983855864559249,7.830643128827926,3,24.29960471001017,0.012088490999448028,0.1007789048144133,0.9826584565179152,,,,,
47,0.8815554600959479,PRUNED,0.7608150127924787,1.6104627434419705,0.17884036993304572,3.6181885724982297,3,2.931194880075938,0.025794953390446657,0.03278475783986151,0.7602773968873313,,,,,
48,0.8907707051739676,COMPLETE,0.7088944949372141,0.01405795463725329,0.15779791948371896,5.1334841561887945,4,2.8753991997543844,0.0001294504041444708,0.008267013983470739,0.869455544930926,"[1073, 991, 520, 734, 433]","[0.888521563289374, 0.908723581348535, 0.8921521271537973, 0.8820569226129724, 0.8823993314651595]",0.8907707051739676,734.0,0.010900488901140726
49,0.8850750106437545,COMPLETE,0.7178084107222222,1.487552934393839,0.0843376816759818,6.6922007258944625,3,1.3858846034420789,0.00045969541169475824,0.07296966934807848,0.965650914462191,"[576, 808, 397, 453, 988]","[0.8761600822790481, 0.894011664844041, 0.876753129643763, 0.887770107873307, 0.8906800685786127]",0.8850750106437545,576.0,0.008174253222026237
50,0.8881486672444678,COMPLETE,0.7251628829882537,0.4515625572127441,0.08234951045645099,6.280084314885144,4,3.9423476478881283,4.804864656409884e-06,0.004312921313584716,0.8597716392639886,"[561, 869, 488, 754, 510]","[0.8746110176610429, 0.9007253858505717, 0.8792485638642626, 0.9011832976871809, 0.8849750711592816]",0.8881486672444678,561.0,0.012253845827015651
51,0.892986459628629,COMPLETE,0.7137871020296106,0.20187059814092126,0.2372833090616284,4.147987470155511,3,2.687999601846242,0.10738404679294579,0.005727698573355097,0.7592168054493101,"[548, 318, 437, 309, 475]","[0.8805757746969209, 0.9007253858505717, 0.9040507004811279, 0.9011832976871809, 0.8783971394273431]",0.892986459628629,437.0,0.012413399245157193
52,0.8807113262793893,PRUNED,0.7209867910161509,0.0944881401721332,0.2320439570085148,3.67505718366552,4,2.8349782611097076,3.746154730213828,0.005267571652038337,0.6831820062585566,,,,,
53,0.8768550657878412,PRUNED,0.7276768980870084,1.2978747418619843,0.19753571998066222,4.43650886387818,6,7.205166580005269,0.00021821300243489282,0.00875855880826933,0.9787919081802062,,,,,
54,0.8807184908959045,PRUNED,0.7714895158448415,0.9522063032300252,0.2068226249545755,6.219303396806692,3,3.012247243609031,0.021091275732938487,0.004828584864343362,0.8560622123761591,,,,,
55,0.8907129221408236,COMPLETE,0.7191031110138194,0.296708229965567,0.06723849236772744,4.744392950946583,5,1.4124993404367996,0.0012800026779594357,0.002329964430540085,0.878071869278975,"[561, 863, 640, 766, 1150]","[0.8787411790455162, 0.9007253858505717, 0.8945176086935067, 0.9011832976871809, 0.8783971394273431]",0.8907129221408236,766.0,0.011394680447150028
56,0.8794238673576706,PRUNED,0.7234803287735183,2.855922355069624,0.09256162498010792,6.577847348083144,6,1.4454756655111973,0.0005087342298551156,0.01857473646989139,0.8319133337897985,,,,,
57,0.8907404605769489,COMPLETE,0.7060070418977815,0.06434015013580037,0.1601732782851945,1.1890063419447054,2,4.915158232869962,0.589365590869266,0.0034240830406786237,0.8176371710547503,"[927, 965, 1188, 1198, 1150]","[0.8787411790455162, 0.9007253858505717, 0.9040507004811279, 0.8917878980801855, 0.8783971394273431]",0.8907404605769489,1150.0,0.011982264796593185
58,0.8761600796635893,PRUNED,0.7371466462717873,0.1115435095410742,0.04499562113181374,4.224093150384493,4,1.3615259970368447,5.876590883756907,0.002056396153123299,0.8758937855976925,,,,,
59,0.8816051714103791,COMPLETE,0.7604861492556997,0.07568773947205923,0.10071117879788942,4.8878436663301255,5,2.25602253349912,0.0009163737930195079,0.0011931842501290897,0.8657087674824279,"[631, 413, 520, 1200, 433]","[0.8827433705473596, 0.9043914833335391, 0.856434749092865, 0.8820569226129724, 0.8823993314651595]",0.8816051714103791,520.0,0.01699188363100626
60,0.8786632675598685,PRUNED,0.7070596365333098,0.3725215548981263,0.2371001287178485,2.827866786889393,2,7.543275931101277,0.004874597863713732,0.005769512370003745,0.868043574894883,,,,,
61,0.8761600796635893,PRUNED,0.7603491755820195,1.2612698243474374,0.11329562833732919,1.6050518874838955,2,4.178585509439819,4.115841673966527,0.003047424757910033,0.8901971023797066,,,,,
62,0.891478917634531,COMPLETE,0.7239022532291963,0.32630057933999607,0.21177532871762855,6.323049797149598,4,2.910602612004375,1.8583684580219045e-05,0.03871433229505451,0.9122149186417593,"[237, 373, 366, 496, 207]","[0.8746110176610429, 0.9007253858505717, 0.9040507004811279, 0.9011832976871809, 0.8768241864927323]",0.891478917634531,366.0,0.014465554646923435
63,0.8845189729634274,COMPLETE,0.7027322422729974,1.199362287588855,0.18836996011514665,4.481171748609178,6,4.1125264703116375,6.602347803574563e-06,0.002605195345731389,0.7653502896495008,"[231, 220, 366, 230, 244]","[0.8868259662744605, 0.8853191099742569, 0.8792485638642626, 0.8989245638314235, 0.872276660872734]",0.8845189729634274,231.0,0.009888565404393083
64,0.8918530699979431,COMPLETE,0.7016978796961291,0.4291225018322362,0.15442202620575873,2.108538383945916,2,2.1556582943013303,0.006257095463715115,0.0020849782566347242,0.677769725735219,"[555, 586, 646, 747, 410]","[0.8787411790455162, 0.9007253858505717, 0.8921335619566146, 0.9011832976871809, 0.8864819254498327]",0.8918530699979431,586.0,0.009573670810688734
65,0.8864145508180401,COMPLETE,0.7098866874007865,0.05689853547261298,0.14005482798538182,2.347877052559166,2,1.9073266444535482,0.014842752663230445,0.001498246787359045,0.6726046860989882,"[656, 586, 1095, 1197, 714]","[0.8787411790455162, 0.9007253858505717, 0.8921521271537973, 0.8820569226129724, 0.8783971394273431]",0.8864145508180401,714.0,0.00974510421798584
66,0.8862457625964408,COMPLETE,0.753386187777819,1.115015435151127,0.19786893002940262,7.6931025923071354,4,1.1398355735294692,1.0180647119775147e-05,0.09364672977016797,0.8864598469985359,"[197, 274, 236, 254, 274]","[0.8746110176610429, 0.9007253858505717, 0.8792485638642626, 0.9011832976871809, 0.8754605479191462]",0.8862457625964408,254.0,0.013541033745742549
67,0.8761600796635893,PRUNED,0.70970420953505,1.6881841611049213,0.15978986546884139,0.6182691277783091,2,8.725319248625418,0.7979737690670263,0.0010374819888022435,0.7612305226472478,,,,,
68,0.8781365102979072,PRUNED,0.7304999575656314,1.3728424287993615,0.15133623965967927,1.38628685704009,2,2.834212816226177,0.005195469639939872,0.005198834237735187,0.8039956938605903,,,,,
69,0.8900565237732183,COMPLETE,0.7234271579050822,0.6597794524499395,0.23886276504031775,3.8706215807750293,3,1.7799828132627593,0.0011656818568703828,0.45733840049698,0.8641088744168888,"[325, 458, 300, 224, 433]","[0.8746110176610429, 0.9007253858505717, 0.8792485638642626, 0.9011832976871809, 0.8945143538030338]",0.8900565237732183,325.0,0.01237818262900085
70,0.8829720521245205,PRUNED,0.7241808837026683,2.3079567934601095,0.12150090997358635,1.813848432511553,5,2.042514068654519,0.0003766438325103662,0.0024278189886815247,0.6549651774915846,,,,,
71,0.8835197218446913,PRUNED,0.7021423362993702,1.2969851363235065,0.2355979396303466,6.446777918805129,2,4.899310021373519,4.508920517218942e-07,0.025807659044167174,0.9413311019560116,,,,,
72,0.888727665095363,COMPLETE,0.7201962628958031,0.16795201503894785,0.1856167505675729,8.128946699164793,2,3.4196776189898412,0.054945857077868754,0.0015187693861316654,0.7004415778512962,"[555, 586, 975, 664, 902]","[0.8787411790455162, 0.9007253858505717, 0.8921521271537973, 0.8917878980801855, 0.8802317353467445]",0.888727665095363,664.0,0.009178071632269278
73,0.8786632675598685,PRUNED,0.7268641729723513,0.5292765742911897,0.22096247273170203,5.757629145707646,5,3.137687280783788,0.0007536980073797223,0.06337549737089569,0.9188141145343572,,,,,
74,0.8899215222601263,COMPLETE,0.7133830983920125,0.16193670913929728,0.12162573461806286,0.9310218546278362,4,6.646425458169461,0.0012402365710803326,0.01469854570115007,0.7549165679888273,"[555, 826, 604, 795, 768]","[0.8771682263789223, 0.9007253858505717, 0.8921335619566146, 0.9011832976871809, 0.8783971394273431]",0.8899215222601263,768.0,0.011660854700442034
